162.159.198.1:443#麒麟优选 | 09-12 19:10 | BestCF.pages.dev
104.18.39.192:443#麒麟优选 | 电信 | 104.18.39.192 | 45.03ms | 69.44mb/s
104.18.42.109:443#麒麟优选 | 电信 | 104.18.42.109 | 43.98ms | 68.98mb/s
172.64.149.193:443#麒麟优选 | 电信 | 172.64.149.193 | 43.53ms | 68.43mb/s
104.18.41.235:443#麒麟优选 | 电信 | 104.18.41.235 | 43.80ms | 68.34mb/s
104.18.40.216:443#麒麟优选 | 电信 | 104.18.40.216 | 44.94ms | 67.24mb/s
172.64.154.96:443#麒麟优选 | 电信 | 172.64.154.96 | 45.11ms | 67.18mb/s
104.18.33.10:443#麒麟优选 | 电信 | 104.18.33.10 | 44.95ms | 66.78mb/s
172.64.155.100:443#麒麟优选 | 电信 | 172.64.155.100 | 44.91ms | 65.84mb/s
104.18.43.148:443#麒麟优选 | 电信 | 104.18.43.148 | 44.98ms | 35.72mb/s
172.64.157.166:443#麒麟优选 | 电信 | 172.64.157.166 | 44.58ms | 29.94mb/s
162.159.156.10:443#麒麟优选 | 联通 | 162.159.156.10 | 67.71ms | 28.99mb/s
104.20.20.175:443#麒麟优选 | 联通 | 104.20.20.175 | 67.78ms | 26.29mb/s
172.67.67.128:443#麒麟优选 | 联通 | 172.67.67.128 | 67.51ms | 16.98mb/s
104.26.6.226:443#麒麟优选 | 联通 | 104.26.6.226 | 65.58ms | 16.16mb/s
104.26.1.31:443#麒麟优选 | 联通 | 104.26.1.31 | 66.04ms | 15.15mb/s
162.159.158.189:443#麒麟优选 | 联通 | 162.159.158.189 | 65.92ms | 12.70mb/s
104.20.24.230:443#麒麟优选 | 联通 | 104.20.24.230 | 65.70ms | 11.48mb/s
104.20.17.61:443#麒麟优选 | 联通 | 104.20.17.61 | 67.52ms | 10.83mb/s
172.67.68.72:443#麒麟优选 | 联通 | 172.67.68.72 | 66.58ms | 7.20mb/s
162.159.138.157:443#麒麟优选 | 联通 | 162.159.138.157 | 66.90ms | 5.62mb/s
172.64.229.9:443#麒麟优选 | 移动 | 172.64.229.9 | 54.95ms | 0.22mb/s
104.17.51.70:443#麒麟优选 | 移动 | 104.17.51.70 | 71.01ms | 0.20mb/s
104.17.116.56:443#麒麟优选 | 移动 | 104.17.116.56 | 56.47ms | 0.18mb/s
104.19.53.223:443#麒麟优选 | 移动 | 104.19.53.223 | 64.30ms | 0.18mb/s
104.16.148.175:443#麒麟优选 | 移动 | 104.16.148.175 | 55.63ms | 0.16mb/s
104.16.145.252:443#麒麟优选 | 移动 | 104.16.145.252 | 54.22ms | 0.15mb/s
172.64.158.252:443#麒麟优选 | 移动 | 172.64.158.252 | 50.01ms | 0.15mb/s
104.18.40.33:443#麒麟优选 | 移动 | 104.18.40.33 | 67.45ms | 0.14mb/s
104.18.46.25:443#麒麟优选 | 移动 | 104.18.46.25 | 59.62ms | 0.13mb/s
172.64.155.102:443#麒麟优选 | 移动 | 172.64.155.102 | 51.99ms | 0.12mb/s
104.18.47.193:443#麒麟优选 | 多线 | 104.18.47.193 | 70.07ms | 15.10mb/s
172.64.229.41:443#麒麟优选 | 多线 | 172.64.229.41 | 53.49ms | 14.40mb/s
104.18.34.100:443#麒麟优选 | 多线 | 104.18.34.100 | 70.81ms | 14.35mb/s
172.64.153.230:443#麒麟优选 | 多线 | 172.64.153.230 | 69.94ms | 14.26mb/s
172.64.159.82:443#麒麟优选 | 多线 | 172.64.159.82 | 69.03ms | 14.16mb/s
104.18.33.185:443#麒麟优选 | 多线 | 104.18.33.185 | 66.00ms | 13.98mb/s
104.18.37.40:443#麒麟优选 | 多线 | 104.18.37.40 | 70.10ms | 8.72mb/s
172.64.152.139:443#麒麟优选 | 多线 | 172.64.152.139 | 70.48ms | 8.04mb/s
104.18.44.219:443#麒麟优选 | 多线 | 104.18.44.219 | 69.07ms | 7.74mb/s
172.64.147.184:443#麒麟优选 | 多线 | 172.64.147.184 | 68.63ms | 0.13mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
